Country/Territory,Cause,Total_Cases
Czechia,Acute Hepatitis,173
Czechia,Road Injuries,36858
Czechia,Self-harm,54379
Czechia,Maternal Disorders,206
Czechia,"Fire, Heat, and Hot Substances",2755
Czechia,Exposure to Forces of Nature,81
Czechia,Meningitis,1832
Democratic Republic of Congo,Diabetes Mellitus,244784
Democratic Republic of Congo,"Fire, Heat, and Hot Substances",42838
Democratic Republic of Congo,Alcohol Use Disorders,13783
Democratic Republic of Congo,Self-harm,125010
Democratic Republic of Congo,Nutritional Deficiencies,429554
Democratic Republic of Congo,Drowning,84451
Democratic Republic of Congo,Acute Hepatitis,49422
Democratic Republic of Congo,Interpersonal Violence,74449
Democratic Republic of Congo,Chronic Respiratory Diseases,481359
Democratic Republic of Congo,Diarrheal Diseases,1713685
Democratic Republic of Congo,Conflict and Terrorism,116313
Democratic Republic of Congo,Road Injuries,768797
Democratic Republic of Congo,Malaria,2557219
Democratic Republic of Congo,Poisonings,37676
Democratic Republic of Congo,Parkinson's Disease,17822
Democratic Republic of Congo,Exposure to Forces of Nature,1403
Democratic Republic of Congo,Tuberculosis,1563620
Democratic Republic of Congo,Cirrhosis and Other Chronic Liver Diseases,336156
Democratic Republic of Congo,Protein-Energy Malnutrition,416177
Democratic Republic of Congo,Neonatal Disorders,1468390
Democratic Republic of Congo,Lower Respiratory Infections,1724304
Democratic Republic of Congo,Cardiovascular Diseases,1989495
Democratic Republic of Congo,Chronic Kidney Disease,181244
Democratic Republic of Congo,Alzheimer's Disease and Other Dementias,77790
Democratic Republic of Congo,Meningitis,297783
Democratic Republic of Congo,Neoplasms,762610
Democratic Republic of Congo,Drug Use Disorders,3445
Democratic Republic of Congo,HIV/AIDS,1006324
Democratic Republic of Congo,Digestive Diseases,579357
Democratic Republic of Congo,Environmental Heat and Cold Exposure,9015
Democratic Republic of Congo,Maternal Disorders,272263
Denmark,Diarrheal Diseases,6968
Denmark,Malaria,0
Denmark,Neonatal Disorders,4304
Denmark,Alzheimer's Disease and Other Dementias,65642
Denmark,Exposure to Forces of Nature,13
Denmark,Digestive Diseases,83455
Denmark,Chronic Respiratory Diseases,121567
Denmark,Self-harm,27358
Denmark,Nutritional Deficiencies,2943
Denmark,Road Injuries,14209
Denmark,Meningitis,1746
Denmark,"Fire, Heat, and Hot Substances",2612
Denmark,Parkinson's Disease,13120
Denmark,Cirrhosis and Other Chronic Liver Diseases,30387
Denmark,Protein-Energy Malnutrition,1308
Denmark,Chronic Kidney Disease,24236
Denmark,Cardiovascular Diseases,579329
Denmark,Neoplasms,505940
Denmark,HIV/AIDS,1493
Denmark,Maternal Disorders,85
Denmark,Drug Use Disorders,5936
Denmark,Tuberculosis,1279
Denmark,Environmental Heat and Cold Exposure,426
Denmark,Acute Hepatitis,75
Denmark,Poisonings,381
Denmark,Diabetes Mellitus,37380
Denmark,Drowning,1267
Denmark,Interpersonal Violence,2031
Denmark,Alcohol Use Disorders,19898
Denmark,Lower Respiratory Infections,63979
Denmark,Conflict and Terrorism,30
Djibouti,Neoplasms,12025
Djibouti,Acute Hepatitis,372
Djibouti,Diarrheal Diseases,14047
Djibouti,Protein-Energy Malnutrition,10015
Djibouti,Poisonings,468
Djibouti,Parkinson's Disease,218
Djibouti,Nutritional Deficiencies,10246
Djibouti,Neonatal Disorders,20256
Djibouti,Cardiovascular Diseases,20843
Djibouti,Cirrhosis and Other Chronic Liver Diseases,4038
Djibouti,"Fire, Heat, and Hot Substances",611
Djibouti,Lower Respiratory Infections,18660
Djibouti,Environmental Heat and Cold Exposure,205
Djibouti,Maternal Disorders,3510
Djibouti,Chronic Kidney Disease,2229
Djibouti,HIV/AIDS,20009
Djibouti,Tuberculosis,12608
Djibouti,Conflict and Terrorism,693
Djibouti,Drowning,765
Djibouti,Alcohol Use Disorders,191
Djibouti,Interpersonal Violence,2264
Djibouti,Diabetes Mellitus,3181
Djibouti,Digestive Diseases,6626
Djibouti,Self-harm,1357
Djibouti,Road Injuries,3367
Djibouti,Chronic Respiratory Diseases,2887
Djibouti,Malaria,1997
Djibouti,Exposure to Forces of Nature,198
Djibouti,Alzheimer's Disease and Other Dementias,823
Djibouti,Meningitis,3562
Djibouti,Drug Use Disorders,41
Dominica,Drug Use Disorders,9
Dominica,Exposure to Forces of Nature,114
Dominica,Lower Respiratory Infections,918
Dominica,Environmental Heat and Cold Exposure,0
Dominica,Chronic Kidney Disease,1034
Dominica,HIV/AIDS,191
Dominica,Neoplasms,4758
Dominica,Self-harm,112
Dominica,Neonatal Disorders,390
Dominica,Tuberculosis,117
Dominica,Conflict and Terrorism,1
Dominica,Diarrheal Diseases,78
Dominica,Diabetes Mellitus,1714
Dominica,Cardiovascular Diseases,7296
Dominica,Alcohol Use Disorders,103
Dominica,Poisonings,51
Dominica,Parkinson's Disease,156
Dominica,Alzheimer's Disease and Other Dementias,586
Dominica,Protein-Energy Malnutrition,73
Dominica,"Fire, Heat, and Hot Substances",60
Dominica,Acute Hepatitis,1
Dominica,Meningitis,39
Dominica,Interpersonal Violence,211
Dominica,Chronic Respiratory Diseases,609
Dominica,Road Injuries,402
Dominica,Digestive Diseases,753
Dominica,Cirrhosis and Other Chronic Liver Diseases,327
Dominica,Malaria,0
Dominica,Nutritional Deficiencies,88
Dominica,Drowning,129
Dominica,Maternal Disorders,30
Dominican Republic,Alzheimer's Disease and Other Dementias,34476
Dominican Republic,Chronic Respiratory Diseases,40480
Dominican Republic,Acute Hepatitis,991
Dominican Republic,Diarrheal Diseases,41343
Dominican Republic,Conflict and Terrorism,16
Dominican Republic,Poisonings,1298
Dominican Republic,Parkinson's Disease,8007
Dominican Republic,"Fire, Heat, and Hot Substances",4366
Dominican Republic,Cardiovascular Diseases,502583
Dominican Republic,Environmental Heat and Cold Exposure,279
Dominican Republic,Drug Use Disorders,667
Dominican Republic,Lower Respiratory Infections,58854
Dominican Republic,Cirrhosis and Other Chronic Liver Diseases,58487
Dominican Republic,Alcohol Use Disorders,3018
Dominican Republic,Neoplasms,205434
Dominican Republic,Malaria,556
Dominican Republic,HIV/AIDS,69145
Dominican Republic,Exposure to Forces of Nature,1461
Dominican Republic,Nutritional Deficiencies,17100
Dominican Republic,Drowning,8181
Dominican Republic,Meningitis,10923
Dominican Republic,Maternal Disorders,6423
Dominican Republic,Chronic Kidney Disease,42605
Dominican Republic,Digestive Diseases,82139
Dominican Republic,Neonatal Disorders,130457
Dominican Republic,Self-harm,15690
Dominican Republic,Tuberculosis,23417
Dominican Republic,Diabetes Mellitus,53725
Dominican Republic,Interpersonal Violence,44560
Dominican Republic,Road Injuries,67010
Dominican Republic,Protein-Energy Malnutrition,16460
Ecuador,Alcohol Use Disorders,12216
Ecuador,Neonatal Disorders,111655
Ecuador,Environmental Heat and Cold Exposure,309
Ecuador,Maternal Disorders,8540
Ecuador,Interpersonal Violence,69274
Ecuador,Alzheimer's Disease and Other Dementias,49500
Ecuador,Lower Respiratory Infections,147588
Ecuador,Cardiovascular Diseases,443431
Ecuador,Road Injuries,113397
Ecuador,Protein-Energy Malnutrition,26034
Ecuador,Chronic Kidney Disease,124947
Ecuador,Drug Use Disorders,1278
Ecuador,"Fire, Heat, and Hot Substances",5630
Ecuador,Exposure to Forces of Nature,2368
Ecuador,Diabetes Mellitus,92543
Ecuador,Nutritional Deficiencies,29134
Ecuador,Conflict and Terrorism,100
Ecuador,Tuberculosis,36910
Ecuador,Poisonings,2357
Ecuador,Diarrheal Diseases,34512
Ecuador,Drowning,18924
Ecuador,HIV/AIDS,20616
Ecuador,Meningitis,6070
Ecuador,Malaria,8010
Ecuador,Parkinson's Disease,13047
Ecuador,Acute Hepatitis,616
Ecuador,Self-harm,34405
Ecuador,Digestive Diseases,148698
Ecuador,Neoplasms,346264
Ecuador,Chronic Respiratory Diseases,71754
Ecuador,Cirrhosis and Other Chronic Liver Diseases,79244
Egypt,Chronic Kidney Disease,445949
Egypt,Protein-Energy Malnutrition,26381
Egypt,Lower Respiratory Infections,954868
Egypt,Environmental Heat and Cold Exposure,1735
Egypt,Nutritional Deficiencies,30709
Egypt,"Fire, Heat, and Hot Substances",42655
Egypt,Neonatal Disorders,504806
Egypt,Maternal Disorders,34917
Egypt,Digestive Diseases,1583081
Egypt,Parkinson's Disease,49207
Egypt,Diarrheal Diseases,498193
Egypt,Cirrhosis and Other Chronic Liver Diseases,1422257
Egypt,Malaria,0
Egypt,Alcohol Use Disorders,3349
Egypt,HIV/AIDS,2784
Egypt,Poisonings,5649
Egypt,Road Injuries,796157
Egypt,Interpersonal Violence,11933
Egypt,Diabetes Mellitus,370494
Egypt,Self-harm,70777
Egypt,Meningitis,39101
Egypt,Tuberculosis,35759
Egypt,Conflict and Terrorism,7542
Egypt,Acute Hepatitis,56882
Egypt,Exposure to Forces of Nature,1572
Egypt,Chronic Respiratory Diseases,543660
Egypt,Cardiovascular Diseases,5995471
Egypt,Drowning,33681
Egypt,Alzheimer's Disease and Other Dementias,146785
Egypt,Drug Use Disorders,1366
Egypt,Neoplasms,1160639
El Salvador,Neonatal Disorders,40341
El Salvador,Self-harm,15566
El Salvador,Chronic Kidney Disease,74204
El Salvador,Alcohol Use Disorders,27028
El Salvador,Meningitis,2863
El Salvador,Diarrheal Diseases,26523
El Salvador,Tuberculosis,5070
El Salvador,Interpersonal Violence,103286
El Salvador,Alzheimer's Disease and Other Dementias,33957
El Salvador,Lower Respiratory Infections,63650
El Salvador,Protein-Energy Malnutrition,9725
El Salvador,Conflict and Terrorism,2542
El Salvador,Cirrhosis and Other Chronic Liver Diseases,35406
El Salvador,Digestive Diseases,62337
El Salvador,Drowning,7347
El Salvador,HIV/AIDS,16995
El Salvador,Acute Hepatitis,171
El Salvador,Malaria,34
El Salvador,Environmental Heat and Cold Exposure,111
El Salvador,Drug Use Disorders,247
El Salvador,Poisonings,455
El Salvador,Nutritional Deficiencies,9761
El Salvador,Diabetes Mellitus,41716
El Salvador,"Fire, Heat, and Hot Substances",1573
El Salvador,Cardiovascular Diseases,222986
El Salvador,Chronic Respiratory Diseases,35418
El Salvador,Parkinson's Disease,5985
El Salvador,Exposure to Forces of Nature,2468
El Salvador,Neoplasms,128602
El Salvador,Road Injuries,41754
El Salvador,Maternal Disorders,3236
Equatorial Guinea,Maternal Disorders,2354
Equatorial Guinea,Road Injuries,6644
Equatorial Guinea,Malaria,28215
Equatorial Guinea,Lower Respiratory Infections,15830
Equatorial Guinea,Conflict and Terrorism,24
Equatorial Guinea,Digestive Diseases,5634
Equatorial Guinea,Diabetes Mellitus,3884
Equatorial Guinea,Tuberculosis,11858
Equatorial Guinea,Drowning,795
Equatorial Guinea,Cirrhosis and Other Chronic Liver Diseases,2923
Equatorial Guinea,Neoplasms,10692
Equatorial Guinea,Chronic Respiratory Diseases,4232
Equatorial Guinea,Nutritional Deficiencies,3065
Equatorial Guinea,Cardiovascular Diseases,21631
Equatorial Guinea,Drug Use Disorders,57
Equatorial Guinea,Environmental Heat and Cold Exposure,96
Equatorial Guinea,Interpersonal Violence,1017
Equatorial Guinea,Chronic Kidney Disease,2535
Equatorial Guinea,Protein-Energy Malnutrition,2956
Equatorial Guinea,Alcohol Use Disorders,151
Equatorial Guinea,"Fire, Heat, and Hot Substances",430
Equatorial Guinea,Parkinson's Disease,272
Equatorial Guinea,Neonatal Disorders,18016
Equatorial Guinea,Exposure to Forces of Nature,0
Equatorial Guinea,Self-harm,1547
Equatorial Guinea,Acute Hepatitis,255
Equatorial Guinea,Meningitis,2641
Equatorial Guinea,Diarrheal Diseases,17376
Equatorial Guinea,Poisonings,356
Equatorial Guinea,Alzheimer's Disease and Other Dementias,1079
Equatorial Guinea,HIV/AIDS,31440
Eritrea,Environmental Heat and Cold Exposure,1543
Eritrea,Diarrheal Diseases,163153
Eritrea,Neonatal Disorders,101110
Eritrea,Tuberculosis,141081
Eritrea,Nutritional Deficiencies,61745
Eritrea,Drowning,4850
Eritrea,Diabetes Mellitus,20247
Eritrea,Interpersonal Violence,13945
Eritrea,Maternal Disorders,25142
Eritrea,Cardiovascular Diseases,134500
Eritrea,Conflict and Terrorism,43236
Eritrea,Self-harm,12046
Eritrea,Protein-Energy Malnutrition,59708
Eritrea,Lower Respiratory Infections,142415
Eritrea,Drug Use Disorders,261
Eritrea,Parkinson's Disease,1202
Eritrea,Alcohol Use Disorders,1226
Eritrea,Road Injuries,25804
Eritrea,Malaria,11951
Eritrea,Alzheimer's Disease and Other Dementias,3819
Eritrea,Poisonings,3733
Eritrea,HIV/AIDS,71881
Eritrea,Acute Hepatitis,3074
Eritrea,Meningitis,25311
Eritrea,Chronic Kidney Disease,13241
Eritrea,Exposure to Forces of Nature,3
Eritrea,"Fire, Heat, and Hot Substances",4098
Eritrea,Chronic Respiratory Diseases,26717
Eritrea,Cirrhosis and Other Chronic Liver Diseases,32760
Eritrea,Neoplasms,71735
Eritrea,Digestive Diseases,51659
Estonia,Alcohol Use Disorders,8353
Estonia,Malaria,0
Estonia,Cirrhosis and Other Chronic Liver Diseases,8316
Estonia,Cardiovascular Diseases,280754
Estonia,Alzheimer's Disease and Other Dementias,14249
Estonia,Environmental Heat and Cold Exposure,3762
Estonia,Tuberculosis,2217
Estonia,Drug Use Disorders,2246
Estonia,Self-harm,11446
Estonia,Nutritional Deficiencies,161
Estonia,HIV/AIDS,696
Estonia,Meningitis,400
Estonia,Lower Respiratory Infections,7613
Estonia,Diabetes Mellitus,4273
Estonia,Neoplasms,110152
Estonia,"Fire, Heat, and Hot Substances",3900
Estonia,Poisonings,685
Estonia,Drowning,3320
Estonia,Neonatal Disorders,1394
Estonia,Diarrheal Diseases,74
Estonia,Chronic Kidney Disease,5523
Estonia,Chronic Respiratory Diseases,9039
Estonia,Exposure to Forces of Nature,5
Estonia,Digestive Diseases,17962
Estonia,Parkinson's Disease,2990
Estonia,Protein-Energy Malnutrition,108
Estonia,Acute Hepatitis,21
Estonia,Road Injuries,6864
Estonia,Conflict and Terrorism,12
Estonia,Interpersonal Violence,5077
Estonia,Maternal Disorders,62
Eswatini,Maternal Disorders,1263
Eswatini,Neoplasms,22999
Eswatini,Exposure to Forces of Nature,12
Eswatini,Cirrhosis and Other Chronic Liver Diseases,5129
Eswatini,"Fire, Heat, and Hot Substances",1507
Eswatini,Poisonings,684
Eswatini,Alzheimer's Disease and Other Dementias,1179
Eswatini,Parkinson's Disease,362
Eswatini,Meningitis,2988
Eswatini,HIV/AIDS,154247
Eswatini,Chronic Kidney Disease,6336
Eswatini,Digestive Diseases,9281
Eswatini,Acute Hepatitis,263
Eswatini,Alcohol Use Disorders,272
Eswatini,Neonatal Disorders,17107
Eswatini,Nutritional Deficiencies,3896
Eswatini,Interpersonal Violence,6018
Eswatini,Cardiovascular Diseases,37935
Eswatini,Conflict and Terrorism,4
Eswatini,Protein-Energy Malnutrition,3832
Eswatini,Environmental Heat and Cold Exposure,347
Eswatini,Drug Use Disorders,100
Eswatini,Road Injuries,10616
Eswatini,Self-harm,5601
Eswatini,Diarrheal Diseases,19732
Eswatini,Tuberculosis,23660
Eswatini,Lower Respiratory Infections,25060
Eswatini,Malaria,795
Eswatini,Drowning,1601
Eswatini,Diabetes Mellitus,14892
Eswatini,Chronic Respiratory Diseases,9328
Ethiopia,Alcohol Use Disorders,17110
Ethiopia,Drowning,82079
Ethiopia,Exposure to Forces of Nature,2336
Ethiopia,Cardiovascular Diseases,1936154
Ethiopia,Tuberculosis,1739099
Ethiopia,Drug Use Disorders,4363
Ethiopia,Conflict and Terrorism,158564
Ethiopia,Chronic Respiratory Diseases,398489
Ethiopia,Neoplasms,936826
Ethiopia,Meningitis,605256
Ethiopia,Malaria,453985
Ethiopia,Road Injuries,304197
Ethiopia,Nutritional Deficiencies,823168
Ethiopia,"Fire, Heat, and Hot Substances",69309
Ethiopia,Interpersonal Violence,198391
Ethiopia,Environmental Heat and Cold Exposure,23032
Ethiopia,Diarrheal Diseases,2514592
Ethiopia,Self-harm,169113
Ethiopia,Neonatal Disorders,2851757
Ethiopia,HIV/AIDS,1788429
Ethiopia,Maternal Disorders,373719
Ethiopia,Diabetes Mellitus,322888
Ethiopia,Acute Hepatitis,61336
Ethiopia,Lower Respiratory Infections,2343265
Ethiopia,Protein-Energy Malnutrition,789723
Ethiopia,Parkinson's Disease,24304
Ethiopia,Alzheimer's Disease and Other Dementias,101811
Ethiopia,Chronic Kidney Disease,251375
Ethiopia,Cirrhosis and Other Chronic Liver Diseases,556480
Ethiopia,Poisonings,101065
Ethiopia,Digestive Diseases,878453
Fiji,Meningitis,621
Fiji,Exposure to Forces of Nature,212
Fiji,Digestive Diseases,4415
Fiji,Diarrheal Diseases,3356
Fiji,Poisonings,76
Fiji,Road Injuries,2802
Fiji,Chronic Respiratory Diseases,12012
Fiji,Neonatal Disorders,5653
Fiji,Chronic Kidney Disease,6447
Fiji,Parkinson's Disease,923
Fiji,Maternal Disorders,571
Fiji,Self-harm,2448
Fiji,Malaria,0
Fiji,HIV/AIDS,300
Fiji,"Fire, Heat, and Hot Substances",748
Fiji,Cirrhosis and Other Chronic Liver Diseases,2175
Fiji,Drowning,1855
Fiji,Neoplasms,16990
Fiji,Diabetes Mellitus,35664
Fiji,Nutritional Deficiencies,603
Fiji,Alzheimer's Disease and Other Dementias,1457
Fiji,Cardiovascular Diseases,62710
Fiji,Tuberculosis,1342
Fiji,Alcohol Use Disorders,48
Fiji,Protein-Energy Malnutrition,597
Fiji,Acute Hepatitis,86
Fiji,Conflict and Terrorism,8
Fiji,Lower Respiratory Infections,6430
Fiji,Environmental Heat and Cold Exposure,30
Fiji,Drug Use Disorders,72
Fiji,Interpersonal Violence,1038
Finland,Conflict and Terrorism,80
Finland,Road Injuries,12636
Finland,Poisonings,429
Finland,Self-harm,35090
Finland,Meningitis,786
Finland,Interpersonal Violence,4021
Finland,Diabetes Mellitus,14615
Finland,Drowning,4186
Finland,Acute Hepatitis,71
Finland,Tuberculosis,2816
Finland,Neoplasms,356716
Finland,Alzheimer's Disease and Other Dementias,64640
Finland,Lower Respiratory Infections,50628
Finland,Cirrhosis and Other Chronic Liver Diseases,30254
Finland,HIV/AIDS,354
Finland,Environmental Heat and Cold Exposure,3059
Finland,"Fire, Heat, and Hot Substances",2596
Finland,Cardiovascular Diseases,695601
Finland,Alcohol Use Disorders,17229
Finland,Protein-Energy Malnutrition,97
Finland,Diarrheal Diseases,1737
Finland,Chronic Respiratory Diseases,48037
Finland,Drug Use Disorders,7087
Finland,Nutritional Deficiencies,284
Finland,Parkinson's Disease,14795
Finland,Neonatal Disorders,2513
Finland,Digestive Diseases,70121
Finland,Exposure to Forces of Nature,17
Finland,Malaria,0
Finland,Maternal Disorders,88
Finland,Chronic Kidney Disease,12630
France,Alzheimer's Disease and Other Dementias,882954
France,Digestive Diseases,839800
France,Lower Respiratory Infections,577479
France,Chronic Kidney Disease,273752
France,Environmental Heat and Cold Exposure,16249
France,Neonatal Disorders,45344
France,Road Injuries,217006
France,Maternal Disorders,2301
France,Protein-Energy Malnutrition,99271
France,Diarrheal Diseases,47915
France,Poisonings,6253
France,Drowning,31279
France,"Fire, Heat, and Hot Substances",24380
France,Self-harm,388164
France,Acute Hepatitis,754
France,Diabetes Mellitus,324244
France,Chronic Respiratory Diseases,607771
France,Malaria,0
France,Meningitis,8975
France,Exposure to Forces of Nature,913
France,Drug Use Disorders,34180
France,Alcohol Use Disorders,104759
France,Nutritional Deficiencies,103810
France,Tuberculosis,49505
France,Interpersonal Violence,21575
France,Cardiovascular Diseases,4729313
France,Conflict and Terrorism,792
France,Neoplasms,5067099
France,Parkinson's Disease,180197
France,HIV/AIDS,50258
France,Cirrhosis and Other Chronic Liver Diseases,357490
Gabon,Digestive Diseases,16123
Gabon,Nutritional Deficiencies,3054
Gabon,Chronic Respiratory Diseases,9013
Gabon,Malaria,25464
Gabon,Cirrhosis and Other Chronic Liver Diseases,10477
Gabon,Acute Hepatitis,380
Gabon,Meningitis,3545
Gabon,Alzheimer's Disease and Other Dementias,3578
Gabon,"Fire, Heat, and Hot Substances",869
Gabon,Exposure to Forces of Nature,1
Gabon,Road Injuries,13750
Gabon,Drowning,991
Gabon,Alcohol Use Disorders,461
Gabon,Neonatal Disorders,22255
Gabon,Self-harm,4367
Gabon,Lower Respiratory Infections,23189
Gabon,Diarrheal Diseases,14826
Gabon,Conflict and Terrorism,12
Gabon,Tuberculosis,19145
Gabon,Environmental Heat and Cold Exposure,202
Gabon,Cardiovascular Diseases,64442
Gabon,Parkinson's Disease,996
Gabon,Neoplasms,32113
Gabon,Maternal Disorders,3383
Gabon,Interpersonal Violence,1911
Gabon,Drug Use Disorders,196
Gabon,Poisonings,688
Gabon,Diabetes Mellitus,13940
Gabon,Chronic Kidney Disease,8348
Gabon,Protein-Energy Malnutrition,2845
Gabon,HIV/AIDS,43020
Gambia,Alzheimer's Disease and Other Dementias,2632
Gambia,Exposure to Forces of Nature,75
Gambia,Diarrheal Diseases,23536
Gambia,Self-harm,2433
Gambia,Poisonings,806
Gambia,HIV/AIDS,22925
Gambia,Acute Hepatitis,567
Gambia,"Fire, Heat, and Hot Substances",1069
Gambia,Cirrhosis and Other Chronic Liver Diseases,7777
Gambia,Neonatal Disorders,44246
Gambia,Alcohol Use Disorders,278
Gambia,Environmental Heat and Cold Exposure,261
Gambia,Drowning,1220
Gambia,Diabetes Mellitus,5805
Gambia,Parkinson's Disease,812
Gambia,Conflict and Terrorism,41
Gambia,Drug Use Disorders,53
Gambia,Cardiovascular Diseases,48140
Gambia,Tuberculosis,18036
Gambia,Meningitis,7947
Gambia,Malaria,38603
Gambia,Maternal Disorders,8200
Gambia,Lower Respiratory Infections,35453
Gambia,Road Injuries,5698
Gambia,Chronic Respiratory Diseases,8642
Gambia,Chronic Kidney Disease,5907
Gambia,Protein-Energy Malnutrition,5553
Gambia,Digestive Diseases,14261
Gambia,Neoplasms,19405
Gambia,Interpersonal Violence,322
Gambia,Nutritional Deficiencies,5784
Georgia,Self-harm,9228
Georgia,Road Injuries,23007
Georgia,Meningitis,1303
Georgia,Acute Hepatitis,249
Georgia,Parkinson's Disease,8453
Georgia,Lower Respiratory Infections,28699
Georgia,Neonatal Disorders,25580
Georgia,Malaria,12
Georgia,Chronic Respiratory Diseases,34752
Georgia,Nutritional Deficiencies,244
Georgia,Alcohol Use Disorders,2080
Georgia,Drug Use Disorders,582
Georgia,Protein-Energy Malnutrition,81
Georgia,Diabetes Mellitus,31656
Georgia,Alzheimer's Disease and Other Dementias,40267
Georgia,Drowning,5814
Georgia,Exposure to Forces of Nature,158
Georgia,"Fire, Heat, and Hot Substances",6921
Georgia,Cardiovascular Diseases,1018279
Georgia,Maternal Disorders,617
Georgia,Interpersonal Violence,6198
Georgia,Neoplasms,223706
Georgia,Poisonings,1352
Georgia,Chronic Kidney Disease,16025
Georgia,HIV/AIDS,377
Georgia,Tuberculosis,9292
Georgia,Cirrhosis and Other Chronic Liver Diseases,48012
Georgia,Digestive Diseases,62230
Georgia,Environmental Heat and Cold Exposure,878
Georgia,Diarrheal Diseases,1786
Georgia,Conflict and Terrorism,4142
Germany,Interpersonal Violence,24943
Germany,Chronic Respiratory Diseases,1117582
Germany,Diabetes Mellitus,621575
Germany,Neonatal Disorders,46185
Germany,Tuberculosis,24383
Germany,Environmental Heat and Cold Exposure,5408
Germany,Road Injuries,211341
Germany,Alzheimer's Disease and Other Dementias,1114977
Germany,Cardiovascular Diseases,10819770
Germany,Parkinson's Disease,264727
Germany,Drug Use Disorders,43072
Germany,Conflict and Terrorism,387
Germany,Alcohol Use Disorders,180344
Germany,Digestive Diseases,1335653
Germany,Neoplasms,7325650
Germany,Poisonings,3303
Germany,Diarrheal Diseases,66744
Germany,Cirrhosis and Other Chronic Liver Diseases,654268
Germany,HIV/AIDS,28389
Germany,Nutritional Deficiencies,11627
Germany,"Fire, Heat, and Hot Substances",20982
Germany,Lower Respiratory Infections,603119
Germany,Meningitis,10086
Germany,Malaria,0
Germany,Maternal Disorders,1488
Germany,Chronic Kidney Disease,616900
Germany,Self-harm,377986
Germany,Protein-Energy Malnutrition,8354
Germany,Drowning,17698
Germany,Acute Hepatitis,2446
Germany,Exposure to Forces of Nature,280
Ghana,Alcohol Use Disorders,4633
Ghana,Malaria,721339
Ghana,Neonatal Disorders,535127
Ghana,Drug Use Disorders,999
Ghana,Conflict and Terrorism,334
Ghana,Nutritional Deficiencies,100393
Ghana,Chronic Respiratory Diseases,130727
Ghana,Interpersonal Violence,23702
Ghana,Road Injuries,124478
Ghana,Environmental Heat and Cold Exposure,3421
Ghana,Lower Respiratory Infections,448884
Ghana,Neoplasms,362921
Ghana,Cirrhosis and Other Chronic Liver Diseases,157443
Ghana,Exposure to Forces of Nature,491
Ghana,Chronic Kidney Disease,91364
Ghana,Alzheimer's Disease and Other Dementias,34949
Ghana,Self-harm,41731
Ghana,Poisonings,11060
Ghana,HIV/AIDS,493463
Ghana,"Fire, Heat, and Hot Substances",15216
Ghana,Tuberculosis,319504
Ghana,Acute Hepatitis,9465
Ghana,Maternal Disorders,40268
Ghana,Meningitis,128260
Ghana,Protein-Energy Malnutrition,96591
Ghana,Cardiovascular Diseases,794129
Ghana,Diarrheal Diseases,370749
Ghana,Digestive Diseases,244322
Ghana,Drowning,16423
Ghana,Diabetes Mellitus,117346
Ghana,Parkinson's Disease,9136
Greece,Chronic Respiratory Diseases,127666
Greece,Diarrheal Diseases,594
Greece,Cirrhosis and Other Chronic Liver Diseases,42974
Greece,Protein-Energy Malnutrition,155
Greece,Conflict and Terrorism,105
Greece,Alcohol Use Disorders,1085
Greece,Lower Respiratory Infections,99752
Greece,Digestive Diseases,95956
Greece,Acute Hepatitis,1145
Greece,Parkinson's Disease,31404
Greece,Exposure to Forces of Nature,238
Greece,Nutritional Deficiencies,306
Greece,Chronic Kidney Disease,96773
Greece,"Fire, Heat, and Hot Substances",3716
Greece,HIV/AIDS,1009
Greece,Poisonings,917
Greece,Drowning,10846
Greece,Diabetes Mellitus,34135
Greece,Self-harm,13763
Greece,Cardiovascular Diseases,1453438
Greece,Maternal Disorders,158
Greece,Neonatal Disorders,7981
Greece,Drug Use Disorders,7160
Greece,Tuberculosis,4587
Greece,Malaria,0
Greece,Road Injuries,56043
Greece,Meningitis,1291
Greece,Alzheimer's Disease and Other Dementias,123503
Greece,Environmental Heat and Cold Exposure,852
Greece,Interpersonal Violence,4084
Greece,Neoplasms,902379
Greenland,"Fire, Heat, and Hot Substances",89
Greenland,Road Injuries,106
Greenland,HIV/AIDS,85
Greenland,Poisonings,26
Greenland,Lower Respiratory Infections,346
Greenland,Environmental Heat and Cold Exposure,60
Greenland,Self-harm,1366
Greenland,Neoplasms,3845
Greenland,Alzheimer's Disease and Other Dementias,153
Greenland,Chronic Respiratory Diseases,829
Greenland,Cirrhosis and Other Chronic Liver Diseases,229
Greenland,Exposure to Forces of Nature,2
Greenland,Interpersonal Violence,231
Greenland,Maternal Disorders,0
Greenland,Protein-Energy Malnutrition,10
Greenland,Neonatal Disorders,259
Greenland,Nutritional Deficiencies,13
Greenland,Diarrheal Diseases,30
Greenland,Malaria,0
Greenland,Drug Use Disorders,47
Greenland,Meningitis,50
Greenland,Alcohol Use Disorders,319
Greenland,Conflict and Terrorism,0
Greenland,Acute Hepatitis,0
Greenland,Cardiovascular Diseases,3419
Greenland,Tuberculosis,122
Greenland,Digestive Diseases,635
Greenland,Parkinson's Disease,77
Greenland,Diabetes Mellitus,159
Greenland,Chronic Kidney Disease,147
Greenland,Drowning,150
Grenada,Malaria,0
Grenada,Interpersonal Violence,166
Grenada,Nutritional Deficiencies,98
Grenada,Drug Use Disorders,25
Grenada,Neoplasms,4397
Grenada,Cardiovascular Diseases,7700
Grenada,Chronic Respiratory Diseases,524
Grenada,Diarrheal Diseases,61
